epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,phobert_lr,trainable_params
1,frozen,0.9896073971803372,0.6375809557150359,0.46520344009381875,0.7172916180858708,0.8054327226784587,0.6454722971582726,0.0,1694211
2,partial,0.6562566458319242,0.8402765622265009,0.6589067799584288,0.6482896218734859,0.9065066329753633,0.7358603454339576,1e-05,30045699
3,partial,0.5385991412351703,0.8913880623140207,0.7341682826143944,0.43661584611511745,0.9185091598231206,0.8110979819287119,1e-05,30045699
4,full,0.46498323129555147,0.9142307019079293,0.7809765620526502,0.5053514187562872,0.9235628553379659,0.8183757715964436,2e-05,136692483
5,full,0.410651820034466,0.9380360581130754,0.8317547746164607,0.6756486598157672,0.9374605180037903,0.8158750789416255,2e-05,136692483
6,full,0.287478311262761,0.9610537370908454,0.8917219483595312,0.696353826131801,0.9349336702463676,0.8303396055963409,2e-05,136692483
7,full,0.20744464036819715,0.9746192893401016,0.9351452402503404,0.862931641276439,0.9374605180037903,0.8323879316602246,2e-05,136692483
8,full,0.1410620484140989,0.9816208646945562,0.9536087344166525,0.9582456199274718,0.9399873657612129,0.8460835986090673,2e-05,136692483
9,full,0.0878016741330987,0.9873096446700508,0.9720342484579056,1.0145116504309688,0.9393556538218573,0.8365813493106288,2e-05,136692483
10,full,0.061913376085639696,0.9905478732714861,0.9798146199396246,1.0406675544870791,0.9368288060644346,0.8293168150835063,2e-05,136692483
