epoch,stage,train_loss,train_acc,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_f1_neutral,val_selection_score,phobert_lr,trainable_params
1,frozen,0.9795082330703735,0.5621389812707859,0.4253833551489146,0.5726222351172278,0.8445112735334069,0.8035375868603917,0.5476750719071538,0.7848150733500406,0.0,0.5476750719071538,0.0,247075
2,partial,0.7006567602599417,0.8057938036058113,0.5494917924600659,0.7895212300159561,0.46808102971526105,0.8982943777637398,0.6127249667834279,0.8771701601834995,0.0,0.6127249667834279,1e-05,28598563
3,partial,0.43709222943215936,0.89130054262209,0.6737339414928379,0.880985285860555,0.3801099675227747,0.9134554643082754,0.7505838303128559,0.9079000443468606,0.38596491228070173,0.7505838303128559,1e-05,28598563
4,full,0.35514337547201585,0.912917906528969,0.7597245774561286,0.9110302976125552,0.34549643359419824,0.9317751105495894,0.8173790282252823,0.9307276572857316,0.5547445255474452,0.8173790282252823,2e-05,135245347
5,full,0.30436713678071964,0.9338351129004026,0.8180530801009561,0.9335694392203595,0.3151994876544734,0.9349336702463676,0.8338036801424883,0.9358212223332115,0.5974025974025974,0.8338036801424883,2e-05,135245347
6,full,0.2220654249645548,0.9551899177314895,0.8781422585869643,0.9552894249099503,0.44383182290076006,0.9425142135186355,0.8372215943611682,0.9395990619478017,0.6,0.8372215943611682,2e-05,135245347
7,full,0.17100535781298587,0.970330824435498,0.9185626666532306,0.9700990527482273,0.4212984650447551,0.9406190777005685,0.8428178935654215,0.9413849025066944,0.6143790849673203,0.8428178935654215,2e-05,135245347
8,full,0.11875665952057506,0.978120077017329,0.9432674411862227,0.9780592417110323,0.5310130985100951,0.9456727732154138,0.8538115881862431,0.943777185832664,0.6456692913385826,0.8538115881862431,2e-05,135245347
9,full,0.08319798928858074,0.9860843689830212,0.9664300249974825,0.9860559647509847,0.6798745809540957,0.9412507896399241,0.8348651976251661,0.9383820276597832,0.5950413223140496,0.8348651976251661,2e-05,135245347
10,full,0.05523951597580152,0.9892350778925258,0.9755042553050856,0.9892317768817586,0.7216194735362542,0.9387239418825016,0.8366662583324643,0.9368712379833573,0.6046511627906976,0.8366662583324643,2e-05,135245347
11,full,0.03997009713961857,0.9928233852616839,0.984735243683974,0.9928296727131037,0.7442577323977597,0.9374605180037903,0.8350292359448702,0.9360533044959254,0.6015037593984962,0.8350292359448702,2e-05,135245347
